Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa)
4.5,65,781.8
4.7,65,781.7
5,65,781.7
5.2,64,781.6
5.3,62,781.6
5.5,61,781.5
5.8,61,781.4
6.2,64,781.4
6.7,62,781.3
7,60,781.3
7.3,57,781.3
7.1,57,781.3
6.4,57,781.3
5,55,781.3
4.7,50,781.3
5,49,781.3
5.2,48,781.3
5.2,47,781.2
5.2,47,781.1
5.2,48,781
5.1,47,780.9
5,47,780.9
5,47,780.9
5.3,46,780.9
5.6,45,781
6,44,781
6.2,43,781
6.3,43,781
6.3,43,780.9
6.4,42,780.9
6.4,42,781
6.4,41,781
6.6,41,781.1
6.9,40,781.1
7.3,40,781.2
7.8,38,781.1
8.2,37,781.1
8.6,35,781.1
8.9,35,781.1
9.2,34,781.1
9.7,33,781.2
9.9,32,781.3
9.7,33,781.3
9.3,35,781.4
9,37,781.5
8.9,39,781.6
9,40,781.7
9.4,39,781.7
9.8,38,781.7
9.9,37,781.6
9.8,39,781.6
9.9,40,781.5
10.2,40,781.4
10.6,39,781.5
11.2,37,781.4
11.6,35,781.4
12.1,32,781.4
12.3,28,781.4
13.2,24,781.2
14.4,21,781
14.9,19,780.8
14.7,20,780.8
14.4,21,780.8
14.3,21,780.7
14,21,780.7
13.8,21,780.6
13.6,22,780.5
13.6,22,780.5
13.2,23,780.4
13.1,24,780.3
13.4,24,780.2
13.6,24,780.1
14.2,24,780.1
14.6,23,780
15.1,22,779.9
15.8,21,779.8
16.6,21,779.8
17.4,19,779.7
18.1,18,779.6
18.9,18,779.6
19.8,17,779.5
20.6,16,779.4
21,15,779.3
21.1,15,779.3
21,15,779.2
20.9,14,779.2
20.6,15,779.2
20,15,779.1
20.1,16,779.2
20.6,14,779.1
21.4,14,779.2
21.9,13,779.2
22.2,12,779.2
22.2,12,779.3
22,12,779.3
22,12,779.4
22.4,12,779.4
23,11,779.5
22.9,12,779.6
22.9,11,779.7
22.9,11,779.8
22.9,11,779.9
22.6,12,780
22.7,12,780.1
22.8,13,780.3
22.6,13,780.4
22.6,13,780.5
22.4,13,780.7
22.4,13,780.8
22.3,14,781
21.9,14,781.2
21.5,14,781.3
21.8,14,781.5
21.7,15,781.7
21.4,15,781.9
21,16,782
20.6,17,782.2
20.4,18,782.3
20,18,782.4
20,18,782.6
19.8,19,782.6
19.8,19,782.7
19.6,19,782.8
19.1,20,782.8
18.1,21,782.8
17.5,21,782.9
17.2,21,782.9
16.7,22,783
16.6,23,783.1
16.3,23,783.1
16,24,783
15.7,24,783
15.2,24,782.9
14.5,24,782.8
13.4,25,782.7
11.9,27,782.6
10.2,30,782.6
8.9,32,782.5
8.2,35,782.5
7.7,36,782.4
7.6,35,782.3
7.6,35,782.2
7.2,35,782.1
6.8,36,782.1
6.7,38,782
6.5,38,782
6.2,37,781.9
6.4,37,781.9
6.8,36,781.8
7.4,34,781.7
7.8,33,781.7
8.6,32,781.6
8.9,32,781.4
9,31,781.3
8.9,31,781.1
8.9,31,781.1
9.2,30,781.2
9.2,30,781.2
9.1,29,781.1
9,29,781.2
9,29,781.2
9.2,28,781.2
9.3,28,781.2
9.4,27,781.2
9.5,27,781.2
9.4,26,781.2
9.3,27,781.2
9.1,27,781.2
9,27,781.2
8.9,28,781.2
9,27,781.3
8.8,27,781.3
8.5,27,781.4
8.2,27,781.5
7.8,28,781.6
7.4,28,781.6
7.8,27,781.6
8.1,26,781.7
8.2,26,781.8
8.7,25,781.9
9.5,24,781.9
10.1,23,781.9
10.7,22,781.9
11.1,22,781.9
12.5,19,781.8
13.4,20,781.6
13.4,20,781.6
13.5,19,781.6
13.5,18,781.6
13.4,18,781.8
13.2,18,781.8
13.2,18,782
13.1,18,782
13.1,18,782
12.9,18,782
12.6,18,782
12.5,19,782
12.3,19,782
11.6,20,782
11,22,782
11.2,22,781.9
11.6,22,781.9
12.3,20,781.8
12.6,19,781.8
12.6,19,781.6
12.6,19,781.6
12.6,19,781.6
13.1,18,781.6
13.5,17,781.6
13.4,17,781.5
13.1,17,781.5
13.1,17,781.3
13.6,16,781.2
14.1,17,781.1
14.2,17,781
14.3,17,780.9
14.7,16,780.8
14.9,15,780.7
15.1,15,780.7
15.6,15,780.6
16.2,14,780.4
16.9,13,780.4
17.5,13,780.3
18.2,12,780.3
19.1,12,780.2
20.4,11,780.1
21,10,780.1
21.7,10,780.1
21.9,10,780
22.2,10,780
22,10,780
21.8,10,779.9
21.6,11,779.9
21.8,10,779.9
21.7,9,779.9
21.6,10,779.9
22,10,779.9
22.4,9,780
22.5,9,780.1
22,11,780.1
22.2,11,780.1
21.8,11,780.2
21.9,10,780.2
22,11,780.3
21.6,12,780.4
21.6,12,780.5
21.8,12,780.6
21.4,13,780.7
21.3,13,780.8
21.1,14,780.9
21.3,14,781
21.6,14,781.1
21.4,15,781.2
21.2,15,781.4
21.3,15,781.5
21.6,14,781.6
21.1,14,781.8
21.2,14,781.9
21.2,14,782
21,15,782.1
21.2,15,782.2
21.2,15,782.3
20.7,17,782.4
20.5,17,782.6
20.6,18,782.7
20.6,18,782.8
20.5,19,782.9
20.1,19,782.9
19.6,20,783
19.7,20,783.1
19.3,22,783.2
18.8,22,783.3
18.3,23,783.4
18,23,783.4
17.5,24,783.4
17.1,25,783.4
8,45,782.6
7.3,46,782.6
6.8,47,782.5
6.5,47,782.4
6.8,47,782.3
7.3,45,782.2
8.1,43,782.1
8.7,40,782
9.3,39,781.9
10,38,781.8
10.5,36,781.6
10.5,36,781.5
10.4,37,781.4
10.7,36,781.3
10.8,35,781.2
10.9,36,781.2
10.8,36,781.3
10.1,37,781.2
9.6,39,781.3
9.6,39,781.3
8.8,41,781.4
7.7,45,781.3
7.6,45,781.3
7.7,45,781.3
7.8,44,781.3
7.9,44,781.3
8,43,781.3
8,43,781.3
8.2,42,781.3
8.6,40,781.3
8.9,38,781.3
8.9,38,781.4
8.6,39,781.5
8.4,39,781.5
8.3,39,781.6
8.2,39,781.7
8,39,781.7
7.8,40,781.8
7.7,41,781.9
8,40,782
8.4,39,782.1
8.7,38,782.1
8.8,37,782.1
9.1,36,782.1
9.6,35,782.1
10,33,782.1
10.2,33,782.2
10.3,32,782.2
10.3,32,782.3
10.1,32,782.3
9.6,33,782.4
9.2,34,782.4
9.4,34,782.4
9.7,33,782.4
10.1,33,782.3
10.3,32,782.3
10.5,32,782.3
11,30,782.2
10.9,30,782.2
10.9,31,782.2
10.9,30,782.1
11.3,30,782
11.9,28,781.9
12.4,27,781.9
13.5,27,781.9
15,23,781.6
14.9,23,781.5
14.1,24,781.4
12.5,27,781.4
11.5,29,781.3
11.4,29,781.3
11.6,28,781.2
11.9,27,781.2
12,27,781.1
12.5,27,781
13,25,781
13.1,25,780.9
13.4,25,780.9
14,23,780.8
14.4,23,780.8
14.6,22,780.7
15.1,22,780.6
15.9,20,780.6
16.7,19,780.6
17.6,18,780.5
18.4,16,780.5
19.3,16,780.5
20.2,15,780.5
20.9,14,780.5
21.4,13,780.4
21.6,14,780.4
21.8,13,780.4
21.9,13,780.4
21.9,14,780.4
22.1,13,780.4
22.2,13,780.4
22.2,12,780.4
22.4,13,780.5
22.2,13,780.5
22.1,13,780.5
21.9,14,780.6
22.1,14,780.6
22.3,14,780.7
22.9,13,780.7
23,13,780.8
22.6,14,780.8
22.4,14,780.9
22.7,14,781
22.6,15,781.1
22.4,15,781.2
22.4,15,781.2
22.5,15,781.3
22.4,15,781.5
22.7,15,781.6
22.4,15,781.8
22.6,14,782
22.5,14,782.2
22.2,14,782.3
22.4,15,782.5
22.6,15,782.6
22.1,16,782.8
22,17,783
21.4,18,783.1
20.5,19,783.3
20.4,19,783.4
20.2,19,783.5
19.9,20,783.6
19.6,20,783.7
19.2,20,783.8
18.7,21,783.8
18.5,22,783.9
17.9,24,783.9
17.5,26,783.9
16.7,27,783.9
16,28,783.9
15.5,29,783.8
14.9,31,783.8
14.4,33,783.7
13.7,36,783.7
13.1,37,783.6
12.2,39,783.5
10.6,42,783.4
8.7,46,783.3
7.1,51,783.3
6.3,54,783.2
5.7,56,783.1
5.2,59,783
4.9,60,782.9
4.9,59,782.8
5.1,58,782.7
5.2,58,782.6
5.3,58,782.6
5.4,58,782.5
5.4,59,782.5
5.2,60,782.4
5.3,61,782.4
5.3,62,782.3
5.3,63,782.3
5.5,62,782.2
5.7,62,782.1
5.9,61,782.1
6.4,60,782.2
6.8,59,782.2
6.9,58,782.2
6.8,58,782.2
6.8,59,782.1
7,58,782.1
7,58,782.1
7.1,57,782.1
7.5,55,782.1
7.7,54,782.1
8.1,53,782.2
8.5,51,782.2
8.9,49,782.3
9,49,782.3
9.1,49,782.4
9.4,47,782.4
9.7,45,782.5
10,44,782.4
10.2,44,782.4
10.4,43,782.5
10.6,43,782.5
10.6,43,782.6
10.6,43,782.6
10.6,42,782.6
10.5,43,782.6
10.3,44,782.6
10.3,44,782.6
10.3,44,782.7
9.8,46,782.7
9.2,48,782.8
9.1,49,782.9
9,48,783
8.9,48,783
8.8,48,783
9,48,783
9.4,47,783.1
9.8,46,783.2
10.1,45,783.2
10,45,783.3
9.9,46,783.3
9.8,47,783.3
9.8,48,783.3
10.2,47,783.2
10.8,46,783.2
11.3,44,783.2
11.7,43,783.2
11.9,43,783.2
12.1,42,783.2
12.2,42,783.1
12.5,42,783.1
12.6,41,783
12.8,41,782.9
12.9,40,782.8
12.8,40,782.7
13.1,38,782.6
13.4,36,782.5
13.5,34,782.3
13.5,32,782.2
13.4,31,782
13.6,29,781.9
13.8,27,781.7
14.5,25,781.6
15.2,23,781.6
15.1,23,781.4
14.9,24,781.3
15.4,24,781.2
16,23,781.1
17,22,781.1
18.1,20,781
19,18,781
19.9,17,781
20.5,16,780.9
20.9,15,780.9
21.8,14,781
22.2,13,781
22.1,13,781
22.2,13,781
22.2,14,781.1
22.5,14,781.2
22.4,14,781.2
22.4,14,781.3
22.2,15,781.3
22.3,15,781.4
22.5,15,781.4
22.5,15,781.5
21.9,15,781.6
22,15,781.7
21.9,17,781.8
21.8,17,781.9
21.8,18,782.1
21.4,19,782.3
21.6,19,782.5
21.2,19,782.7
21.1,19,782.9
20.8,21,783.1
21.2,21,783.3
21,22,783.4
20.7,22,783.6
20.1,23,783.7
19.9,25,783.8
19.6,26,784
19.5,26,784.1
19.4,28,784.2
19.6,28,784.3
18.8,30,784.3
18,31,784.4
17.4,31,784.4
17.1,32,784.5
17,31,784.5
16.7,31,784.6
16.5,32,784.6
16.2,30,784.6
15.7,32,784.6
15.3,32,784.6
14.5,30,784.5
13.7,29,784.5
13,29,784.5
12.1,27,784.4
10.7,26,784.3
8.6,26,784.2
6.6,31,784
5.4,35,783.8
4.6,38,783.7
4.3,38,783.5
4.2,38,783.4
4,37,783.2
4.1,35,783
4.3,34,782.9
4.5,33,782.8
4.9,31,782.7
5.3,30,782.6
5.7,29,782.6
6.4,27,782.5
7.1,24,782.4
7.6,23,782.3
7.8,22,782.1
7.8,22,782.1
8.1,22,782
8,22,781.9
7.9,22,782
8.1,22,782
8.1,23,782
8.1,23,782
7.9,23,782
7.8,24,782
7.9,24,782.1
8.1,24,782.1
8,25,782.1
7.9,25,782.1
7.8,25,782.1
7.8,25,782.1
8.6,23,782
8.8,23,782
8.8,22,782.1
8.7,23,782.2
8.4,24,782.2
8.2,25,782.3
8.2,25,782.4
8.3,25,782.5
8.4,25,782.5
8.4,25,782.5
8.6,26,782.5
8.9,26,782.5
9.2,25,782.5
9.4,24,782.4
9.9,23,782.4
10,22,782.4
9.8,23,782.5
9.8,23,782.5
9.7,23,782.5
10.1,23,782.6
10.7,22,782.6
10.8,21,782.6
10.7,21,782.6
10.6,21,782.6
10.4,22,782.6
9.9,23,782.5
10,22,782.5
10.2,22,782.6
10.1,22,782.6
10.1,22,782.6
10.1,22,782.5
10.2,22,782.4
10.4,23,782.3
10.5,23,782.2
10.8,22,782.1
11.2,22,782
11.6,22,781.9
12.1,21,781.7
12.6,20,781.5
13,19,781.3
13.5,18,781.2
13.8,18,781.1
14,18,781
14.1,18,780.8
13.9,18,780.7
14,18,780.6
14,18,780.5
13.8,19,780.4
14,20,780.3
14.6,19,780.2
15.5,18,780.2
16.3,17,780.1
17.3,16,780.1
18.1,15,780
19,14,780
19.6,13,780
20.3,13,780
21.1,13,779.9
21.4,13,779.9
21.3,13,779.8
21.2,13,779.7
21.1,13,779.7
21.2,13,779.7
21.1,13,779.7
21.1,14,779.7
21.1,14,779.7
21.2,14,779.8
21.3,14,779.7
21.5,14,779.8
21.5,14,779.8
22.2,12,779.8
22.3,12,779.9
22.6,12,779.9
22.3,13,780
22.7,13,780
22.5,14,780.1
21.9,15,780.1
21.1,16,780.2
21.1,16,780.4
20.7,16,780.5
20.6,16,780.6
20.8,16,780.7
20.9,16,780.8
20.8,16,781
20.4,16,781.2
20.5,16,781.3
20.3,16,781.4
20.3,16,781.6
19.9,18,781.7
19.6,19,781.8
19.9,19,781.9
19.9,19,782
19.5,19,782
18.7,18,782.1
17.7,17,782.1
17.8,16,782.2
17.5,16,782.1
17.4,16,782.2
17.4,17,782.2
16.8,23,782.1
15.9,30,782.1
15.5,32,782.1
15.2,35,782.1
14.8,37,782.1
14.7,39,781.9
14.3,36,781.8
13.4,36,781.7
12.4,41,781.6
11,45,781.4
9.2,50,781.3
7.6,55,781.1
6.8,57,781
6.4,56,780.9
5.7,58,780.8
5.2,62,780.7
4.7,62,780.5
4.8,65,780.3
5.2,65,780.2
5.6,63,780.1
6.3,60,780
7,56,779.9
8.1,51,779.7
8.7,38,779.5
7.7,40,779.3
7.5,51,779.3
7.8,51,779.2
8.2,50,779.2
8.2,50,779.1
8.8,47,779.1
9.4,43,779
9.7,41,779
9.5,42,779
10,43,779.1
10.6,41,779
10.7,41,778.9
10.9,41,778.9
11,40,778.9
11.1,39,778.9
11,40,779
11.1,38,779
11.2,38,778.9
11,39,778.9
11,41,778.9
11.1,42,778.9
11.1,42,778.9
11.3,42,779
11.4,41,779
11.6,43,779.1
12,37,779.2
12.2,36,779.3
12.2,37,779.3
11.9,39,779.3
11.6,43,779.3
11.7,43,779.3
11.8,42,779.3
12.2,41,779.2
12.5,38,779.2
12.4,42,779.1
12.3,45,779.2
12.5,44,779.2
12.6,41,779.1
12.6,42,779.1
12.6,42,779.1
12.8,41,779.1
12.9,41,779
12.8,41,779
12.8,41,779
12.7,38,779
12.6,38,779.1
12.6,39,779.3
12.7,38,779.4
12.6,37,779.4
12.8,35,779.4
12.9,33,779.3
12.9,31,779.2
12.8,30,779.2
12.9,29,779.2
12.9,28,779.2
12.9,27,779.2
13,27,779.2
13.2,27,779.1
13.3,28,779.1
13.3,29,779.1
13.5,30,779.1
13.6,30,778.9
13.6,31,778.8
13.3,34,778.8
13.6,33,778.6
13.8,33,778.4
14.3,32,778.4
14.5,31,778.1
14.8,29,778
14.9,29,778
15.2,28,777.9
15.6,27,777.8
15.9,26,777.7
16.1,25,777.6
16.4,25,777.6
16.9,24,777.5
17.4,23,777.4
17.6,21,777.3
17.9,21,777.2
18.2,21,777.2
18.2,20,777.2
18.4,20,777.1
18.3,19,777.1
18.5,19,777
18.5,19,777
18.5,21,777
18.6,20,777
18.5,21,776.9
18.7,20,776.8
18.7,20,776.7
18.6,21,776.7
18.8,19,776.6
18.6,20,776.6
18.4,22,776.7
18.5,23,776.8
18.3,24,776.9
18.1,23,777.1
18.1,24,777.2
18.1,26,777.3
17.7,25,777.3
17.5,27,777.7
17.3,29,777.9
17.2,29,778.2
17,30,778.4
16.8,31,778.6
16.6,31,778.8
16.5,33,778.9
15.9,34,779
15.7,34,779.2
15.6,35,779.3
15.1,35,779.5
14.8,37,779.5
14.6,37,779.6
14.1,38,779.7
14.1,35,779.8
13.9,38,779.9
13.7,40,780
13.2,41,780.1
13.1,43,780.1
12.8,47,780
12.5,50,780.1
12.3,50,780.1
11.7,53,780.1
11.3,55,780.2
10.9,57,780.3
10.6,59,780.3
10.4,61,780.2
10.1,63,780.1
10.1,64,780.1
10,65,779.9
9.3,68,779.9
8.3,75,779.9
7.7,77,779.7
7.5,79,779.5
7.2,80,779.3
6.9,81,779.3
6.4,83,779.2
6.3,83,779.2
6.2,84,779.2
6.1,83,779.1
6.2,83,778.9
6.2,83,778.8
6.3,83,778.6
6.3,84,778.6
6.3,83,778.6
6.4,82,778.5
6.6,83,778.4
6.2,86,778.3
5.8,87,778.2
5.5,87,778.1
5.4,85,778
5.5,85,778
5.6,84,778.1
5.7,84,778.2
5.7,84,778.2
5.7,83,778.3
5.8,82,778.3
5.9,81,778.4
6,80,778.4
6.2,78,778.4
6.4,78,778.4
6.4,78,778.5
6.2,79,778.7
6,80,778.7
5.6,79,778.5
5.7,78,778.6
5.8,77,778.7
5.9,77,778.7
6.1,76,778.9
6.3,74,779
6.5,73,779.1
6.4,74,779.2
6.2,74,779.1
6.1,73,779
6.3,71,779.1
6.4,70,779.1
6.5,70,779.2
6.8,69,779.3
7.3,66,779.3
8,64,779.3
8.5,62,779.3
8.7,62,779.2
8.9,61,779.2
8.8,61,779.2
8.9,60,779.1
9,59,779.1
9.4,57,779.1
9.8,55,779
10.1,53,779
10.1,52,779
10,51,779.1
10,51,779.1
9.9,51,779.1
10.4,49,779.1
11,46,779.1
11.3,47,778.8
11.4,46,778.3
11.5,45,777.7
11.5,46,777.6
11.6,45,777.7
11.7,45,777.6
11.9,44,777.4
12,44,777.3
12.2,43,777.1
12.3,42,776.9
12.4,41,776.6
12.6,39,776.7
12.8,37,776.8
13,36,776.8
13.1,36,777
13.3,36,776.9
13.5,35,776.8
13.8,34,776.6
14,32,776.5
14.3,31,776.4
14.6,31,776.2
14.8,30,776
15.1,29,775.8
15.2,28,775.8
15.7,27,775.8
15.9,25,775.7
16,26,775.5
16.6,24,775.3
17.3,23,775.2
17.4,22,775.1
17,22,775.1
17.4,21,775.1
17.7,23,775.1
17.7,22,775.2
17.4,23,775.1
17.8,22,775.2
18.2,22,775.1
17.9,23,775.2
18.1,20,775.2
17.8,22,775.2
17.8,23,775.3
17.3,23,775.4
17.2,23,775.5
17.2,24,775.8
17,26,775.9
16.6,25,776
16.5,27,775.9
16.7,27,776
17.3,28,776.1
17.4,27,776.2
17.3,29,776.4
17.1,29,776.7
16.8,32,777
16.5,33,777.2
16.4,32,777.4
16.3,32,777.7
16.4,31,777.9
16.2,32,778.1
15.9,32,778.2
15.4,34,778.3
15.1,33,778.5
14.9,32,778.6
14.9,35,778.8
14.3,39,778.8
14,41,778.8
13.6,41,778.9
12.9,44,778.8
12.5,45,778.9
12.1,46,778.9
11.7,47,778.9
11.9,47,778.8
11.5,49,778.7
11.1,51,778.6
10.8,51,778.6
10.7,52,778.6
10.3,54,778.5
10.1,55,778.6
9.7,56,778.5
9.2,59,778.3
8.7,61,778.2
8.3,63,778.1
7.9,65,778.1
7.7,67,778
7.6,68,778.1
7.6,66,778
7.5,64,777.9
6.9,66,777.8
5.7,76,777.9
5.3,76,777.9
5.1,73,777.9
5.2,70,778
5.5,69,777.9
5.7,69,777.8
5.8,68,777.7
6,68,777.6
6,68,777.5
6.2,67,777.5
6.4,67,777.4
6.5,67,777.2
6.6,67,777.1
6.7,68,777
7.2,68,777.1
7.7,67,777.2
8.2,68,777.2
8.4,69,777.2
8.6,68,777.2
8.9,68,777.2
9.2,67,777.2
9.4,66,777.2
9.6,66,777.1
9.8,66,777.1
10,66,777.2
10.1,66,777.1
10.2,66,777
10.3,66,777
10.5,63,777.1
10.8,59,777.1
10.9,56,777.1
11,55,777.2
10.9,53,777.3
10.6,54,777.3
10.4,53,777.4
9.6,54,777.4
8.5,56,777.5
8.2,54,777.5
8.2,53,777.5
8.2,53,777.6
8,53,777.7
7.8,54,777.8
7.9,53,777.9
7.9,53,777.9
8.1,51,777.9
8,51,777.9
7.6,53,778
7.6,53,778.1
7.7,53,778.2
8,53,778.3
8.6,52,778.4
8.9,51,778.4
9.2,50,778.4
9.5,49,778.4
9.7,49,778.4
10.2,47,778.4
10.4,47,778.4
10.5,47,778.3
10.7,46,778.4
10.9,46,778.3
11.8,44,778.2
13.2,41,778.1
13.7,40,778
13.8,40,778
13.8,39,778.1
13.9,39,778
14,39,777.9
14.1,37,777.9
14.2,36,777.8
14.4,34,777.8
14.7,33,777.8
14.7,32,777.7
14.9,30,777.7
15.1,29,777.6
15.3,27,777.6
15.5,26,777.5
15.7,26,777.5
16,25,777.5
16.3,28,777.4
16.4,31,777.4
16.7,30,777.4
17.1,30,777.4
17.2,29,777.3
17.5,29,777.3
18.2,28,777.3
18.3,28,777.3
18.4,28,777.3
18.8,28,777.3
18.8,27,777.2
18.4,28,777.3
18.3,29,777.4
18.1,29,777.4
18.7,28,777.4
18.8,28,777.4
18.3,29,777.4
18.3,30,777.5
18.3,29,777.6
17.6,31,777.6
17.8,31,777.7
17.6,31,777.8
18,32,777.9
18.1,32,777.9
18.9,29,778
18.9,29,778.1
19.3,27,778.2
19,27,778.3
18.4,28,778.4
18.2,29,778.6
18.7,28,778.7
18.7,28,778.9
18.5,30,779
18.2,29,779.2
18,30,779.4
17.5,34,779.5
17.4,36,779.7
16.9,38,779.9
16.6,40,780.1
16.4,41,780.2
16.2,43,780.4
16.2,43,780.5
16.2,43,780.6
16.1,44,780.7
15.5,46,780.7
14.9,49,780.8
14.7,50,780.9
14.9,51,780.9
15.2,52,781
14.7,52,781
14.4,54,781
14,56,781
13.9,56,781
13.8,57,780.9
13.8,56,780.8
13.6,58,780.7
13.1,60,780.7
12.4,64,780.7
11.7,66,780.6
10.8,70,780.6
10,72,780.5
9.1,76,780.4
8.2,79,780.3
7.6,81,780.3
7.3,78,780.2
7.7,75,780.2
8.2,76,780.1
8.4,75,779.9
8.3,75,779.8
8.2,74,779.7
8.6,71,779.6
8.7,72,779.4
9.2,68,779.3
10.1,66,779.2
10.3,67,779.1
10.1,67,779
10,67,779
10,66,779
9.9,65,779
9.4,66,778.9
8.7,66,778.9
8.6,65,779
8.7,63,779
9.1,61,778.9
9.6,59,778.9
10.1,56,778.9
10.6,55,778.9
10.9,54,778.9
11.1,52,778.8
11.2,52,778.8
11.4,52,778.8
11.5,51,778.7
11.6,50,778.8
11.6,50,778.9
11.7,48,779
11.8,47,778.8
11.8,46,778.9
11.8,47,778.9
11.9,46,779
11.8,47,779
11.5,46,779.1
10.6,49,779.1
10,52,779.2
10.4,51,779.3
10.9,50,779.3
11.6,47,779.3
11.9,44,779.4
12,44,779.4
12.1,44,779.4
12.4,42,779.5
12.5,41,779.6
12.4,41,779.7
12.2,43,779.8
12.1,44,779.8
12.2,43,779.9
12.3,43,779.9
12.4,43,779.9
12.5,43,779.9
12.4,43,779.9
12.2,45,779.9
12.4,50,779.8
12.5,49,779.8
12.5,50,779.7
12.7,49,779.6
13,48,779.5
13.1,47,779.3
13.3,47,779.3
13.6,46,779.2
13.7,45,779.1
13.7,45,779
13.7,45,778.9
13.8,45,778.8
17.3,32,777.9
17.8,30,777.9
17.9,30,777.9
18.7,28,777.9
18.6,27,777.8
19.1,26,777.8
19.3,25,777.8
19.1,24,777.8
18.8,26,777.8
19.1,25,777.8
19.3,26,777.8
19.4,25,777.9
19.2,26,777.9
19.2,26,778
19.5,25,778
19.7,26,778.1
19.5,25,778.2
19.2,26,778.3
18.9,25,778.3
18.9,26,778.4
18.6,28,778.6
18.4,28,778.7
18.3,28,778.8
18.1,29,779
18.3,29,779.2
18.3,32,779.3
18.1,31,779.5
17.9,30,779.6
17.7,33,779.7
17.3,34,779.9
16.9,35,780
16.8,35,780.1
16.5,36,780.2
16.4,35,780.3
16.2,37,780.4
16.2,37,780.5
16,39,780.5
16,40,780.6
15.7,41,780.6
15.4,44,780.7
15,44,780.7
14.9,45,780.7
14.7,45,780.6
14.4,47,780.6
13.9,49,780.6
13.7,51,780.6
13.9,51,780.6
13.8,52,780.5
13.1,54,780.4
12,57,780.4
11.1,60,780.3
9.4,66,780.1
